Phylum;Class;Order;Family;Species;Known;Abbreviation;Total number of reads;# Spiders before cutoff;# Spiders after cutoff;Size from literature;TaxoSize;Type;Min;Max;Size reference
Animals;Insecta;Coleoptera;Staphylinidae;Atheta nigripes;yes;ath.nig;48;7;1;Spec length: 2,4-3mm;species;body;2,4;3;Freude, H., Harde, K. W. & Lohse, G. A. (1974) Die Käfer Mitteleuropas, Bd. 5: Staphylinidae II (Hypocyphlinae und Aleocharinae), Pselaphidae. Goecke & Evers Verlag, Krefeld.
Animals;Insecta;Diptera;Chloropidae;Oscinella sp. BOLD:ACX3175;no;osc.ACX3175;48;3;1;Fam lenght: 1-4mm;family;body;1;4;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;Limoniidae;Neolimnophila placida ;yes;neo.pla;48;4;1;Fam length: 2-11mm;family;body;2;11;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Hymenoptera;Ichneumonidae;Plectiscus impurator;yes;ple.imp;48;14;1;NA;NA;NA;NA;NA;Not found
Animals;Insecta;Diptera;Clusiidae;Clusiodes albimanus;yes;clu.alb;47;5;3;Fam length:1,5-8mm;family;body;1,5;8;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;Muscidae;Mydaea new sp. nr urbana;yes;myd.urb;47;3;1;Spec length: 7,75-9,5mm;species;body;7,75;9,5;D'Assis Fonseca, E. C. M. (1968) Diptera - Cylorrhapha Calyptrata, section (b) Muscidae, Handbooks for the Identification of British Insects Vol. 10 Part IV (a) Royal Entomological Society of London, London, UK.
Animals;Insecta;Coleoptera;Leiodidae;Apocatops nigrita;yes;apo.nig;46;9;1;NA;NA;NA;NA;NA;Not found
Animals;Insecta;Diptera;Phoridae;PhorIntGen14 sp. BOLD:ACG4325;no;pho.ACG4325;46;4;1;Fam length: 0,5-6mm;family;body;0,5;6;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;Anthomyiidae;Pegomya testacea;yes;peg.tes;45;6;2;Fam length: 4-12mm;family;body;4;12;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;Cecidomyiidae;Campylomyza flavipes;yes;cam.fla;45;3;1;Fam length: 0,5-3mm;family;body;0,5;3;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;Chironomidae;Chironomidae sp. BOLD:ACO8440;no;chi.ACO8440;45;4;1;Fam length: 1-10mm;family;body;1;10;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;Limoniidae;Pseudolimnophila sepium;yes;pse.sep;45;1;1;Fam length: 2-11mm;family;body;2;11;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;NA;Diptera sp.;no;dip.sp.;45;5;1;NA;NA;NA;NA;NA;Impossible
Animals;Insecta;Hymenoptera;Ichneumonidae;Syrphoctonus cf. tarsatorius;yes;syr.tar;45;2;1;NA;NA;NA;NA;NA;Not found
Animals;Insecta;Lepidoptera;Nymphalidae;Boloria sp. BOLD:AAA3398;no;bol.AAA3398;45;13;1;Genus vvl: 16-21mm;genus;forewing;16;21;Higgins, L. G. & Riley, N. D. (1980) Field Guide to the Butterflies of Britain and Europe. 4th edn, Collins, London
Animals;Insecta;Diptera;Cecidomyiidae;Cecidomyiidae sp. BOLD:ACX2138;no;cec.ACX2138;44;2;1;Fam length: 0,5-3mm;family;body;0,5;3;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Lepidoptera;Gracillariidae;Caloptilia alchimiella;yes;cal.alc;44;3;2;Spec vvl 5-7mm;species;forewing;5;7;Stirling, P., Parsons, M. & Lewington, R. ( 2012) Field guide to the Micro-Moths of Great Britain and Ireland. Britsh Wildlife Publishing, Gillingham.
Animals;Insecta;Diptera;Dolichopodidae;Gymnopternus metallicus;yes;gym.met;43;1;1;Fam length: 1-9mm;family;body;1;9;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;Phoridae;PhorIntGen6 sp. BOLD:ACF6985;no;pho.ACF6985;43;3;1;Fam length: 0,5-6mm;family;body;0,5;6;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;Ceratopogonidae;Forcipomyia nigra;yes;forc.nig;42;7;2;Fam length: 1-5mm;family;body;1;5;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Hymenoptera;Ichneumonidae;Phobocampe sp. BOLD:ACR4523;no;pho.ACR4523;42;3;1;NA;NA;NA;NA;NA;Not found
Animals;Insecta;Diptera;Cecidomyiidae;Cecidomyiidae sp. BOLD:ACU9751;no;cec.ACU9751;41;6;2;Fam length: 0,5-3mm;family;body;0,5;3;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;Dolichopodidae;Xanthochlorus tenellus;yes;xan.ten;41;7;2;Fam length: 1-9mm;family;body;1;9;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;Keroplatidae;Neoplatyura nigricauda;yes;neo.nig;41;1;1;Fam length: 4-15mm;family;body;4;15;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;Sciaridae;Corynoptera perpusilla;yes;cor.per;41;6;2;Fam length: 1-6mm;family;body;1;6;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;Tachinidae;Linnaemya picta;yes;lin.pic;41;4;1;Genus length: 9-12mm;genus;body;9;12;Zeegers, T. (1992) Tabel voor de grotere sluipvliegen en horzels van Nederland. Jeugdbondsuitgeverij, Utrecht.
Animals;Insecta;Hymenoptera;Ichneumonidae;Liotryphon caudatus;yes;lio.cau;41;3;1;Spec vvl: 3,6-8,5mm;species;wing;3,6;8,5;Fitton, M. G., Shaw, M. R. & Gauld, I. D. (1988) Hymenoptera Ichneumonoidae (Pimplinae), Handbooks for the Identification of British Insects Vol. 7 Part I. Royal Entomological Society of London, London, UK.
Animals;Insecta;Lepidoptera;Ypsolophidae;Ypsolopha parenthesella;yes;yps.par;41;3;1;Spec vvl: 7-9mm;species;forewing;7;9;Stirling, P., Parsons, M. & Lewington, R. ( 2012) Field guide to the Micro-Moths of Great Britain and Ireland. Britsh Wildlife Publishing, Gillingham.
Animals;Insecta;Coleoptera;Carabidae;Dromius quadrimaculatus;yes;dro.qua;40;1;1;Spec length: 4,7-6,4mm;species;body;4,7;6,4;Boeken, M., Desender, K., Drost, B., van Gijzen, T., Koese, B., Muilwijk, J., Turin, H. & Vermeulen, R. J. (2002) De loopkevers van Nederland & Vlaanderen (Coleoptera: Carabidae). Stichting Jeugdbondsuitgeverij, Utrecht.
Animals;Insecta;Coleoptera;Leiodidae;Sciodrepoides watsoni;yes;sci.wat;40;2;1;NA;NA;NA;NA;NA;Not found
